Date,Population
2021-12-31,60185000
2020-12-31,59554023
2019-12-31,59729081
2018-12-31,60421760
2017-12-31,60536709
2016-12-31,60627498
2015-12-31,60730582
2014-12-31,60789140
2013-12-31,60233948
2012-12-31,59539717
2011-12-31,59379449
2010-12-31,59277417
2009-12-31,59095365
2008-12-31,58826731
2007-12-31,58438310
2006-12-31,58143979
2005-12-31,57969484
2004-12-31,57685327
