Date,VALUE
2000-12-31,20153.07
2001-12-31,20505.91
2002-12-31,22384.06
2003-12-31,27573.81
2004-12-31,31335.76
2005-12-31,32020.21
2006-12-31,33432.32
2007-12-31,37809.3
2008-12-31,40796.37
2009-12-31,36964.97
2010-12-31,35805.44
2011-12-31,38273.82
2012-12-31,34707.44
2013-12-31,35398.21
2014-12-31,35578.68
2015-12-31,30213.1
2016-12-31,30932.78
2017-12-31,32367.11
2018-12-31,34605.68
2019-12-31,33219.85
2020-12-31,31288.02
2021-12-31,28722.71
